emerge saleintended2 ebitbeforedummy equitybefore manufacturing prime1yearbeffile lnhqtohqctcity prepack3 diploanres commcred24 lnassetscurrdollar lnjudgeexp
0 1 0 0.15162455 1 9.00 3.73766962 1 1 1 5.62401751 0.00000000
1 0 1 0.04943503 1 4.75 3.09104245 1 1 1 7.25559127 0.69314718
1 0 1 0.00841445 1 5.00 3.36729583 1 1 1 7.50565728 4.35670883
1 0 1 0.16604103 1 6.75 3.25809654 1 1 1 7.63781763 1.79175947
1 0 1 -0.20717022 1 5.00 3.40119738 1 1 1 6.99960493 4.02535169
1 0 1 0.02893975 1 5.00 2.70805020 0 1 1 8.83534142 2.89037176
0 1 1 0.32223881 1 5.25 3.17805383 1 1 1 6.68959927 0.69314718
0 0 1 0.13788781 1 4.00 3.17805383 1 1 1 8.06808963 1.09861229
1 0 1 -0.09084163 1 4.50 0.00000000 0 1 1 6.69524252 2.19722458
1 0 0 -0.11871189 1 5.00 3.25809654 1 1 1 8.56560233 1.94591015
1 0 1 -0.33631458 1 8.25 3.66356165 2 1 NA 6.76964198 2.19722458
1 0 1 -0.20134997 1 4.75 3.17805383 1 1 1 9.71673620 2.19722458
1 0 1 0.07378825 1 5.50 0.00000000 1 1 1 8.90734160 3.49650756
0 0 0 0.13838579 1 6.00 0.00000000 1 NA 1 6.43866323 0.00000000
0 0 0 0.25548351 1 9.00 2.56494936 1 NA 1 6.71175256 0.00000000
1 1 0 0.13098502 1 9.50 3.04452244 1 1 1 6.16141827 1.09861229
1 1 0 -0.07082631 1 9.50 3.04452244 1 NA 1 5.87436878 3.40119738
1 0 1 -0.16481171 1 9.50 3.09104245 0 1 1 6.48600834 0.69314718
0 0 1 0.04073933 1 6.00 3.82864140 1 1 1 7.36162953 0.00000000
1 0 0 -2.07514280 1 4.75 3.40119738 0 1 1 6.00674717 3.36729583
1 0 0 0.51266147 0 7.75 1.94591015 1 1 1 6.06113053 1.09861229
1 0 1 -0.38873714 1 8.50 0.00000000 0 NA 1 6.04270409 3.04452244
1 1 1 0.18355360 1 9.50 1.09861229 1 1 1 7.62217459 3.87120101
1 0 0 -0.11093714 1 5.50 3.13549422 0 1 1 5.70434898 2.48490665
1 0 1 -0.03215768 1 7.75 0.00000000 1 NA 1 5.26165338 NA
1 1 1 0.09848485 1 7.75 3.17805383 1 1 1 5.98141421 0.00000000
0 1 0 0.18157634 1 8.25 2.48490665 1 1 1 5.68088908 0.00000000
1 0 0 0.24906987 1 4.00 2.39789527 1 1 1 5.68007021 0.00000000
1 0 0 -0.03901797 1 8.50 2.99573227 1 1 1 5.42978413 0.00000000
1 0 1 0.13872832 0 6.75 2.83321334 1 1 1 5.84643878 2.56494936
1 0 1 0.07455013 0 8.50 3.25809654 2 1 NA 5.36574234 1.38629436
1 0 0 -0.07049180 0 4.75 0.00000000 1 NA 1 5.72031178 0.00000000
1 0 0 0.12731674 0 5.00 3.17805383 1 1 1 10.13448022 1.38629436
1 0 0 0.11470282 0 3.25 0.00000000 1 NA 1 6.86589107 0.69314718
0 0 0 -0.12756808 0 8.50 3.55534806 1 NA 1 5.34376863 0.00000000
0 0 1 -0.03605313 0 8.50 0.00000000 1 NA 1 5.57405337 1.38629436
0 1 0 0.16836248 0 6.50 4.89783980 1 1 1 6.78060349 0.00000000
1 0 0 -0.28466011 0 8.25 3.09104245 2 1 1 6.79615310 0.69314718
1 0 0 -0.09976247 0 4.25 1.94591015 1 1 1 6.04263283 0.00000000
1 0 1 -0.16883952 0 6.75 0.00000000 2 NA NA 6.30005158 0.00000000
1 0 1 0.05357735 0 4.75 1.94591015 1 1 1 6.70145655 0.69314718
1 0 1 0.28874269 0 6.75 NA 1 1 1 7.91425228 1.60943791
1 0 0 0.24270750 0 4.00 4.04305127 2 1 NA 6.37193658 1.60943791
1 0 1 0.33713915 0 8.50 0.00000000 1 1 1 7.01106068 3.36729583
0 0 0 0.36353973 0 9.50 0.00000000 1 NA 1 6.62353388 0.69314718
0 1 0 0.29185780 0 9.50 2.63905733 1 1 1 5.85449869 1.09861229
1 0 0 -0.32585670 0 6.75 2.19722458 1 1 1 8.99031695 0.69314718
0 0 0 0.02010520 0 4.00 2.19722458 1 1 1 9.05427119 1.09861229
0 0 0 0.12169892 0 8.25 0.00000000 1 1 1 7.13087483 2.39789527
1 0 0 -0.25315353 0 4.50 0.00000000 1 1 1 9.98971112 1.60943791
1 0 0 -0.20111095 0 4.50 2.48490665 1 1 1 9.54980812 2.39789527
0 1 0 0.24664286 0 4.75 3.33220451 1 NA 1 6.51864569 3.91202301
1 0 1 0.20280773 0 7.75 3.25809654 1 NA 1 6.89060912 0.00000000
1 0 1 0.12549913 0 8.25 0.00000000 1 1 1 5.71383181 1.60943791
1 0 1 -0.08162163 0 4.00 0.00000000 1 1 1 6.76848172 1.09861229
1 0 0 -0.02019120 0 4.25 1.09861229 0 1 1 7.24466313 1.09861229
0 0 0 0.51283505 0 8.25 2.63905733 1 1 1 7.02868890 2.56494936
0 1 0 -0.11684750 1 8.50 3.33220451 1 1 1 5.80453238 2.83321334
1 0 0 0.12755088 0 8.50 0.00000000 1 1 0 8.22654673 0.00000000
1 0 0 0.56687800 0 9.00 2.30258509 1 NA 1 6.12211993 2.07944154
0 0 0 -0.55494320 0 8.00 0.00000000 0 1 0 7.26021334 1.09861229
1 0 0 0.23295965 0 8.25 3.33220451 1 1 1 5.96565944 2.48490665
1 1 0 -0.25429273 0 9.00 0.00000000 1 NA 0 7.67572696 1.09861229
0 1 0 -0.19203149 0 7.75 4.89783980 1 1 1 7.01448186 0.00000000
1 0 0 -0.16054637 0 8.25 2.07944154 1 1 1 7.61114978 3.76120012
0 0 0 0.34405941 0 8.75 0.00000000 1 NA 0 6.69456206 3.29583687
1 0 0 -0.36339584 0 9.50 2.89037176 1 NA 1 7.09794579 0.69314718
0 1 0 -0.58425609 0 9.00 3.13549422 1 NA 1 5.69716060 0.00000000
1 0 0 0.00554649 0 9.00 0.00000000 1 1 1 8.02780285 1.60943791
